"SEQPLT","YEAR","PSTATABB","PNAME","ORISPL","OPRNAME","OPRCODE","UTLSRVNM","UTLSRVID","SECTOR","BANAME","BACODE","NERC","SUBRGN","SRNAME","ISORTO","FIPSST","FIPSCNTY","CNTYNAME","CAMDFLAG","NUMUNT","NUMGEN","PLPRMFL","PLFUELCT","COALFLAG","CAPFAC","NAMEPCAP","NBFACTOR","RMBMFLAG","CHPFLAG","USETHRMO","PWRTOHT","ELCALLOC","PSFLAG","PLHTIAN","PLHTIOZ","PLHTIANT","PLHTIOZT","PLNGENAN","PLNGENOZ","PLNOXAN","PLNOXOZ","PLSO2AN","PLCO2AN","PLCH4AN","PLN2OAN","PLCO2EQA","PLHGAN","PLNOXRTA","PLNOXRTO","PLSO2RTA","PLCO2RTA","PLCH4RTA","PLN2ORTA","PLC2ERTA","PLHGRTA","PLNOXRA","PLNOXRO","PLSO2RA","PLCO2RA","PLCH4RA","PLN2ORA","PLC2ERA","PLHGRA","PLNOXCRT","PLNOXCRO","PLSO2CRT","PLCO2CRT","PLCH4CRT","PLN2OCRT","PLC2ECRT","PLHGCRT","UNNOX","UNNOXOZ","UNSO2","UNCO2","UNCH4","UNN2O","UNHG","UNHTI","UNHTIOZ","UNHTIT","UNHTIOZT","UNNOXSRC","UNNOZSRC","UNSO2SRC","UNCO2SRC","UNCH4SRC","UNN2OSRC","UNHGSRC","UNHTISRC","UNHOZSRC","BIONOX","BIONOXOZ","BIOSO2","BIOCO2","BIOCH4","BION2O","CHPCHTI","CHPCHTIOZ","CHPNOX","CHPNOXOZ","CHPSO2","CHPCO2","CHPCH4","CHPN2O","PLHTRT","PLGENACL","PLGENAOL","PLGENAGS","PLGENANC","PLGENAHY","PLGENABM","PLGENAWI","PLGENASO","PLGENAGT","PLGENAOF","PLGENAOP","PLGENATN","PLGENATR","PLGENATH","PLGENACY","PLGENACN","PLCLPR","PLOLPR","PLGSPR","PLNCPR","PLHYPR","PLBMPR","PLWIPR","PLSOPR","PLGTPR","PLOFPR","PLOPPR","PLTNPR","PLTRPR","PLTHPR","PLCYPR","PLCNPR","GEOID","CountyFIPS","TractCode","StateAbbr","COUNTY","E_TOTPOP","M_TOTPOP","RPL_EBM","RPL_HVM","RPL_SVM","E_PM","E_OZONE","E_DSLPM","E_COAL","EP_UNINSUR","EP_AGE65","EP_ASTHMA","EP_BPHIGH","EP_CANCER","EP_MHLTH","geometry"
6481,2021,"NC","Facile Solar","59406","Duke Energy Carolinas, LLC",5416,"Facile Solar LLC",59533,"IPP Non-CHP","Duke Energy Carolinas","DUK","SERC","SRVC","SERC Virginia/Carolina","","37","001","Alamance","",1,1,"SUN","SOLAR","",0.14298,2,NA,"","",NA,NA,NA,"",NA,NA,22152,11318,2505,1280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22152,11318,"","","","","","","--","EIA","EIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2505,0,0,0,0,2505,2505,0,2505,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,"37001020601","37001","020601","NC","Alamance",3113,164,0.5874,0.4,0.0113,9.52,0.33,0.35,0,2.5,27.8,8,35.7,10.4,9.2,c(-79.493889, 36.098889)
6293,2021,"NC","Bakatsias Solar","61527","Duke Energy Carolinas, LLC",5416,"Cypress Creek Renewables",61060,"IPP Non-CHP","Duke Energy Carolinas","DUK","SERC","SRVC","SERC Virginia/Carolina","","37","001","Alamance","",1,1,"SUN","SOLAR","",0.18142,5,NA,"","",NA,NA,NA,"",NA,NA,70268,35902,7946,4060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70268,35902,"","","","","","","--","EIA","EIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,7946,0,0,0,0,7946,7946,0,7946,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,"37001021201","37001","021201","NC","Alamance",5565,449,0.5017,0.8,0.8864,9.48,0,0.3,0,21.6,18.9,11,39.6,6.8,16.9,c(-79.347471, 36.072359)
6466,2021,"NC","Elliana Solar","58725","Duke Energy Carolinas, LLC",5416,"Cypress Creek Renewables",61060,"IPP Non-CHP","Duke Energy Carolinas","DUK","SERC","SRVC","SERC Virginia/Carolina","","37","001","Alamance","",1,1,"SUN","SOLAR","",0.20822,5,NA,"","",NA,NA,NA,"",NA,NA,80649,41206,9120,4660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80649,41206,"","","","","","","--","EIA","EIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,9120,0,0,0,0,9120,9120,0,9120,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,"37001021201","37001","021201","NC","Alamance",5565,449,0.5017,0.8,0.8864,9.48,0,0.3,0,21.6,18.9,11,39.6,6.8,16.9,c(-79.3325, 36.131111)
6702,2021,"NC","Milo Solar","58739","Duke Energy Carolinas, LLC",5416,"Milo Solar LLC",59911,"IPP Non-CHP","Duke Energy Carolinas","DUK","SERC","SRVC","SERC Virginia/Carolina","","37","001","Alamance","",1,1,"SUN","SOLAR","",0.21374,3,NA,"","",NA,NA,NA,"",NA,NA,49672,25379,5617,2870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49672,25379,"","","","","","","--","EIA","EIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,5617,0,0,0,0,5617,5617,0,5617,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,"37001021300","37001","021300","NC","Alamance",6018,261,0.047,0.4,0.6104,9.32,0,0.19,0,8.9,18.6,10.1,39.6,7.2,13.9,c(-79.348889, 36.148889)
6669,2021,"NC","Manning PV 1","59520","Duke Energy Carolinas, LLC",5416,"Ecoplexus, Inc",58970,"IPP Non-CHP","Duke Energy Carolinas","DUK","SERC","SRVC","SERC Virginia/Carolina","","37","001","Alamance","",1,1,"SUN","SOLAR","",0.21911,5,NA,"","",NA,NA,NA,"",NA,NA,84865,43360,9597,4903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84865,43360,"","","","","","","--","EIA","EIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,9597,0,0,0,0,9597,9597,0,9597,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,"37001021600","37001","021600","NC","Alamance",7553,565,0.2964,0.4,0.6393,9.45,0.33,0.25,0,8.3,13.8,10.4,24.6,5.1,16.6,c(-79.521389, 36.119167)
6896,2021,"NC","Snow Camp Solar, LLC","60367","Randolph Electric Member Corp",15671,"Cypress Creek Renewables",61060,"IPP Non-CHP","Duke Energy Progress East","CPLE","SERC","SRVC","SERC Virginia/Carolina","","37","001","Alamance","",1,1,"SUN","SOLAR","",0.22974,5.2,NA,"","",NA,NA,NA,"",NA,NA,92542,47283,10465,5347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92542,47283,"","","","","","","--","EIA","EIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,10465,0,0,0,0,10465,10465,0,10465,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,"37001021803","37001","021803","NC","Alamance",3246,314,0.1269,0.2,0.4304,9.47,0,0.18,0,15.2,15,9.9,35.4,7.3,15.3,c(-79.42346, 35.86267)
6703,2021,"NC","Minnie Solar","58740","Duke Energy Carolinas, LLC",5416,"Minnie Solar LLC",59913,"IPP Non-CHP","Duke Energy Carolinas","DUK","SERC","SRVC","SERC Virginia/Carolina","","37","001","Alamance","",1,1,"SUN","SOLAR","",0.20757,3,NA,"","",NA,NA,NA,"",NA,NA,48237,24646,5455,2787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48237,24646,"","","","","","","--","EIA","EIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,5455,0,0,0,0,5455,5455,0,5455,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,"37001021901","37001","021901","NC","Alamance",4819,316,0.2756,0,0.2931,9.51,0,0.23,0,9.5,17,9.4,32.7,7.4,13.6,c(-79.361944, 35.948056)
6549,2021,"NC","Haw River Hydro","10258","Duke Energy Carolinas, LLC",5416,"Haw River Hydro Co",4980,"IPP Non-CHP","Duke Energy Carolinas","DUK","SERC","SRVC","SERC Virginia/Carolina","","37","001","Alamance","",2,2,"WAT","HYDRO","",0.40944,1.5,NA,"","",NA,NA,NA,"",NA,NA,47574,18736,5380,2119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47574,18736,"","","","","","","--","EIA","EIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,5380,0,0,0,0,0,0,0,5380,0,0,5380,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,"37001022001","37001","022001","NC","Alamance",4044,359,0.3139,0,0.5034,9.51,0,0.24,0,7,15.8,9.7,33.4,7.1,14.1,c(-79.3244, 35.9483)
6953,2021,"NC","Taylorsville Solar LLC","57402","EnergyUnited Elec Member Corp",21632,"Taylorsville Solar LLC",56798,"IPP Non-CHP","Duke Energy Carolinas","DUK","SERC","SRVC","SERC Virginia/Carolina","","37","003","Alexander","",1,1,"SUN","SOLAR","",0.14631,1.2,NA,"","",NA,NA,NA,"",NA,NA,13599,6948,1538,786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13599,6948,"","","","","","","--","EIA","EIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1538,0,0,0,0,1538,1538,0,1538,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,"37003040400","37003","040400","NC","Alexander",6761,506,0.3855,1,0.8915,9.17,0.33,0.19,0,7.9,21.3,10.4,40.2,8.1,16.1,c(-81.152498, 35.909074)
6929,2021,"NC","Stikeleather Farm","59595","Duke Energy Carolinas, LLC",5416,"Stikeleather Farm, LLC",59340,"IPP Non-CHP","Duke Energy Carolinas","DUK","SERC","SRVC","SERC Virginia/Carolina","","37","003","Alexander","",1,1,"SUN","SOLAR","",0.21922,5,NA,"","",NA,NA,NA,"",NA,NA,84912,43383,9602,4906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84912,43383,"","","","","","","--","EIA","EIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,9602,0,0,0,0,9602,9602,0,9602,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,"37003040500","37003","040500","NC","Alexander",7016,679,0.3242,0.4,0.7359,9.39,0.33,0.17,0,10.8,18.9,10.2,36.4,6.9,16.4,c(-81.106111, 35.902222)
