"FIPS_Code","PCTPOVALL_2021","MEDHHINC_2021"
0,12.8,69717
1000,16.3,53990
1001,10.7,66444
1003,10.8,65658
1005,23,38649
1007,20.6,48454
1009,12,56894
1011,32.1,32027
1013,22.7,39442
1015,19.2,48166
1017,19.7,45447
1019,18.2,46365
1021,15.5,55142
1023,23.3,40601
1025,19.4,45447
1027,18.4,47036
1029,15,49769
1031,15.9,55052
1033,16.5,53341
1035,22.4,35621
1037,17.1,45954
1039,19.8,44188
1041,17.5,38037
1043,13.5,55036
1045,15.7,50086
1047,29.5,33159
1049,19.4,45062
1051,12,63147
1053,23.8,40506
1055,17.4,46308
1057,19.6,46122
1059,18.9,45440
1061,21.1,43206
1063,33.2,30225
1065,22.1,41995
1067,15.6,56389
1069,19.1,48701
1071,18.9,46998
1073,16.9,55210
1075,17,44265
1077,16.2,52222
1079,13.9,55555
1081,18,54188
1083,9.9,69207
1085,28.3,36993
1087,27.5,35354
1089,10.2,78386
1091,24.6,42048
1093,18.3,44636
1095,15.6,50858
1097,18.2,49848
1099,22.3,40997
1101,21.7,50645
1103,13.5,56340
1105,33.7,31522
1107,21.1,43926
1109,23.9,38945
1111,21.5,45889
1113,21.7,44849
1115,12.8,63015
1117,7.7,85457
1119,35.1,29490
1121,19.1,47331
1123,18.3,47444
1125,14.7,56274
1127,20.2,46343
1129,20.6,49795
1131,32.4,30071
1133,19,47176
2000,10.8,78437
2013,18.4,71492
2016,10.4,86050
2020,9.5,86152
2050,24.6,54849
2060,11.3,88516
2063,7.7,88029
2066,14.3,61288
2068,7.5,85251
2070,21.8,58389
2090,7.9,76754
2100,10.8,63155
2105,17,56555
2110,7.6,89922
2122,11.5,71111
2130,11.3,73260
2150,8.5,80863
2158,30.4,38203
2164,20.6,51205
2170,10.5,80164
2180,19.8,65578
2185,12.4,95041
2188,20.9,67586
2195,8,71878
2198,15,56226
2220,8.6,78248
2230,6.1,65712
2240,12.9,68347
2275,11.3,64732
2282,12.2,73014
2290,23.7,44934
4000,12.9,68967
4001,28.4,41002
4003,17.1,55748
4005,16.9,63829
4007,16.8,52665
4009,20.4,52644
4011,9.5,71669
4012,20.3,44330
4013,11.3,76230
4015,18,48169
4017,24.8,49057
4019,14.7,60604
4021,10.7,70835
4023,20.4,49216
4025,12.5,57676
4027,17.3,55991
5000,16,52577
5001,17.7,50928
5003,21.3,44030
5005,13.4,45116
5007,7.9,78974
5009,13,48700
5011,19.6,40454
5013,14.6,49977
5015,16.8,49225
5017,27.9,34857
5019,20,47158
5021,17.9,41419
5023,16.7,50200
5025,14.1,53705
5027,23.2,44651
5029,16.9,47741
5031,18.2,52490
5033,14.7,54065
5035,23,43821
5037,16.7,45262
5039,20.2,42442
5041,27.6,39042
5043,16.5,46572
5045,13.6,57573
5047,17.2,47834
5049,18,41557
5051,14.5,48053
5053,11.2,67088
5055,12.9,53920
5057,21.2,41281
5059,17.8,51662
5061,17.9,42733
5063,18.9,48957
5065,18.4,40788
5067,22.5,37815
5069,20.3,46100
5071,18.1,43003
5073,23.7,38777
5075,20.4,44661
5077,34.9,29714
5079,22.6,45435
5081,15.7,46619
5083,15.4,45558
5085,11,64633
5087,15.4,49691
5089,17.8,42892
5091,20.4,45450
5093,23.9,41007
5095,25.3,37113
5097,19.9,41359
5099,21.2,40283
5101,19.1,41823
5103,20.2,47169
5105,15.2,51204
5107,35.7,32419
5109,18.6,43710
5111,22.2,42639
5113,19.3,43166
5115,18,47049
5117,15.7,59367
5119,17.6,53597
5121,17,43484
5123,32.2,36781
5125,8.5,68107
5127,17.3,39974
5129,20.9,35422
5131,19.5,49170
5133,18.3,46651
5135,18.3,39183
5137,20.8,37782
5139,17.8,47315
5141,17.1,39629
5143,12.4,64218
5145,16.3,51660
5147,25.2,37331
5149,15.1,48526
6000,12.3,84831
6001,9.4,108971
6003,15.8,87570
6005,11.1,68159
6007,16.6,62982
6009,13.5,68298
6011,11.4,60725
6013,8.8,110595
6015,21.4,48108
6017,8.8,87689
6019,19.4,63140
6021,15.5,56741
6023,19.4,53924
6025,17.3,50970
6027,12.8,62381
6029,18.5,57926
6031,17.7,60810
6033,16.5,55801
6035,18.8,56923
6037,14.1,77356
6039,20.4,60241
6041,7.8,118472
6043,14.1,60377
6045,16.1,57516
6047,21.9,54703
6049,19.9,49273
6051,9.8,70945
6053,12.1,81404
6055,9,94127
6057,11.8,77220
6059,9.9,100210
6061,6.6,103588
6063,13,58154
6065,11.6,78690
6067,13,79611
6069,8.9,95187
6071,13.2,74218
6073,10.7,90756
6075,11.4,119776
6077,12.3,79598
6079,13.1,79688
6081,6.8,131151
6083,15.2,83185
6085,6.9,141161
6087,10.6,90370
6089,14,60187
6091,12.3,60659
6093,16.8,50069
6095,10,87348
6097,9.1,92999
6099,14.1,73151
6101,15.5,63246
6103,15.6,53654
6105,19.1,45508
6107,18.7,57398
6109,13.2,61396
6111,8.9,95819
6113,14.8,76247
6115,15.6,60764
8000,9.7,82228
8001,10,80831
8003,18.3,51009
8005,8.7,84308
8007,11.4,68025
8009,20.3,44257
8011,30,37185
8013,10.7,90327
8014,4.9,106413
8015,10.4,65987
8017,12.9,58544
8019,7.6,78312
8021,16.7,45931
8023,23.1,35416
8025,37.8,38049
8027,10.5,63505
8029,13.9,52403
8031,11.7,81262
8033,13.9,55157
8035,2.9,129839
8037,7.1,94928
8039,5.4,114853
8041,9.6,79094
8043,15.9,51732
8045,9.2,78940
8047,6.9,82370
8049,7.2,78779
8051,12.3,63872
8053,7.6,66213
8055,18.6,46798
8057,14.8,55535
8059,7.3,94401
8061,12.5,61430
8063,12.1,56272
8065,11.3,64416
8067,10.1,74774
8069,11.2,78681
8071,21,42708
8073,14.9,51975
8075,16.4,53234
8077,10.6,63531
8079,9.6,62213
8081,10.8,64133
8083,15.2,53337
8085,12.5,56686
8087,12.4,61849
8089,19.7,45658
8091,6.4,80686
8093,7.3,84361
8095,11.9,56577
8097,6.7,96316
8099,19.2,48337
8101,16.2,56311
8103,10.2,65334
8105,14.4,52353
8107,6,93776
8109,21.6,43366
8111,13.8,54146
8113,9,79742
8115,14.2,45645
8117,6.7,90297
8119,7.9,76715
8121,11.6,57522
8123,9.8,84826
8125,13.5,56161
9000,10.1,83628
9001,9.1,100703
9003,10.6,79958
9005,8.6,84689
9007,6.6,94735
9009,12,75094
9011,8.9,78552
9013,11.1,86430
9015,11.6,71581
10000,11.5,71636
10001,12.2,64670
10003,11.4,74088
10005,11.5,70500
11000,16.8,91072
11001,16.8,91072
12000,13.2,63054
12001,19.1,56006
12003,16.1,60994
12005,13.9,60106
12007,19.1,54911
12009,11.3,65280
12011,12.8,65536
12013,20.6,43210
12015,10.9,59547
12017,15.5,48237
12019,8,76711
12021,10.4,75799
12023,16.5,52035
12027,25.5,43256
12029,23.4,39029
12031,14.9,60121
12033,18.5,54492
12035,10.3,65783
12037,21,44684
12039,25.8,45678
12041,15.3,52168
12043,19.2,46389
12045,15.7,51684
12047,25.7,39522
12049,21.9,45964
12051,21.7,48841
12053,12,56443
12055,15.1,47820
12057,14.3,65818
12059,20,44139
12061,11.7,61351
12063,20.6,42721
12065,16.4,56130
12067,18.9,45732
12069,10,64662
12071,12.2,66426
12073,16.2,57246
12075,18.8,45494
12077,23.1,48271
12079,21.8,43444
12081,9.9,67929
12083,13.6,54555
12085,11.4,67059
12086,15.2,58905
12087,11,68975
12089,9.9,78069
12091,9.7,69053
12093,20.9,47642
12095,14.9,64579
12097,13.3,60495
12099,11.6,70024
12101,11.6,59555
12103,12.3,61851
12105,15.6,56344
12107,26.3,38759
12109,6.3,94662
12111,11.4,62378
12113,8.9,80837
12115,8.6,71630
12117,9.4,70470
12119,9.5,69707
12121,20.6,46284
12123,20.1,47083
12125,22.7,48667
12127,13.8,58246
12129,10.1,71962
12131,12.4,64779
12133,19.2,47930
13000,14.2,66507
13001,18.2,46530
13003,23.8,40303
13005,23.4,43154
13007,25.9,44106
13009,24.4,44685
13011,12.8,60485
13013,9.6,67646
13015,11.6,67604
13017,22.1,39863
13019,17.2,46404
13021,24.5,47859
13023,19,51770
13025,18.4,48076
13027,23.5,40936
13029,8.1,87334
13031,21.3,53105
13033,20.7,46977
13035,14,61471
13037,34,38232
13039,11.8,63482
13043,22,41593
13045,16.3,59894
13047,11.6,64245
13049,24.6,47229
13051,15.5,61527
13053,16.5,53786
13055,20.2,42974
