"ST_ABBR","STCNTY","COUNTY","FIPS","LOCATION","RPL_THEMES","RPL_THEME1","RPL_THEME2","RPL_THEME3","RPL_THEME4"
"NC",37001,"Alamance",37001,"Alamance County, North Carolina",0.5152,0.4646,0.6263,0.5859,0.3939
"NC",37003,"Alexander",37003,"Alexander County, North Carolina",0.3232,0.1818,0.4848,0.1717,0.5455
"NC",37005,"Alleghany",37005,"Alleghany County, North Carolina",0.3838,0.596,0.5556,0.1717,0.101
"NC",37007,"Anson",37007,"Anson County, North Carolina",0.8384,0.8485,0.5758,0.8687,0.9091
"NC",37009,"Ashe",37009,"Ashe County, North Carolina",0.101,0.202,0.1313,0.0202,0.1515
"NC",37011,"Avery",37011,"Avery County, North Carolina",0.4444,0.6364,0.1111,0.1111,0.6465
"NC",37013,"Beaufort",37013,"Beaufort County, North Carolina",0.6667,0.7273,0.7374,0.5354,0.4949
"NC",37015,"Bertie",37015,"Bertie County, North Carolina",0.9596,1,0.2727,0.9798,0.9798
"NC",37017,"Bladen",37017,"Bladen County, North Carolina",0.7677,0.8081,0.8889,0.7273,0.4444
"NC",37019,"Brunswick",37019,"Brunswick County, North Carolina",0.0505,0.1414,0.0808,0.2929,0.1313
"NC",37021,"Buncombe",37021,"Buncombe County, North Carolina",0.2727,0.1515,0.0909,0.2626,0.6667
"NC",37023,"Burke",37023,"Burke County, North Carolina",0.5859,0.6566,0.4141,0.2929,0.6061
"NC",37025,"Cabarrus",37025,"Cabarrus County, North Carolina",0.1919,0.0404,0.3838,0.5556,0.3131
"NC",37027,"Caldwell",37027,"Caldwell County, North Carolina",0.5253,0.6465,0.4545,0.1414,0.4646
"NC",37029,"Camden",37029,"Camden County, North Carolina",0.202,0.3232,0.5253,0.3333,0.0101
"NC",37031,"Carteret",37031,"Carteret County, North Carolina",0.0606,0.1111,0.0707,0.2121,0.2828
"NC",37033,"Caswell",37033,"Caswell County, North Carolina",0.4949,0.4141,0.2424,0.6364,0.6263
"NC",37035,"Catawba",37035,"Catawba County, North Carolina",0.4545,0.2828,0.5354,0.404,0.6162
"NC",37037,"Chatham",37037,"Chatham County, North Carolina",0.0808,0.0707,0.5152,0.4545,0.0505
"NC",37039,"Cherokee",37039,"Cherokee County, North Carolina",0.2424,0.6061,0.1414,0.0808,0.0606
"NC",37041,"Chowan",37041,"Chowan County, North Carolina",0.6263,0.5051,0.8182,0.6465,0.5152
"NC",37043,"Clay",37043,"Clay County, North Carolina",0.2929,0.3939,0.303,0.0101,0.3232
"NC",37045,"Cleveland",37045,"Cleveland County, North Carolina",0.6869,0.7475,0.2323,0.4242,0.8586
"NC",37047,"Columbus",37047,"Columbus County, North Carolina",0.9091,0.899,0.8687,0.6667,0.7778
"NC",37049,"Craven",37049,"Craven County, North Carolina",0.6364,0.4141,0.7778,0.5455,0.8182
"NC",37051,"Cumberland",37051,"Cumberland County, North Carolina",0.7778,0.6768,0.7677,0.9091,0.8485
"NC",37053,"Currituck",37053,"Currituck County, North Carolina",0,0.101,0.0404,0.1414,0
"NC",37055,"Dare",37055,"Dare County, North Carolina",0.1515,0.3434,0.101,0.1414,0.1414
"NC",37057,"Davidson",37057,"Davidson County, North Carolina",0.4242,0.5253,0.5556,0.3434,0.2121
"NC",37059,"Davie",37059,"Davie County, North Carolina",0.1818,0.0808,0.4646,0.2323,0.3333
"NC",37061,"Duplin",37061,"Duplin County, North Carolina",0.8182,0.8384,0.9899,0.7879,0.4848
"NC",37063,"Durham",37063,"Durham County, North Carolina",0.6061,0.3636,0.2929,0.899,0.9192
"NC",37065,"Edgecombe",37065,"Edgecombe County, North Carolina",0.9192,0.8687,0.7879,0.9697,0.8788
"NC",37067,"Forsyth",37067,"Forsyth County, North Carolina",0.596,0.3838,0.6667,0.7172,0.697
"NC",37069,"Franklin",37069,"Franklin County, North Carolina",0.4646,0.2929,0.4242,0.5657,0.6566
"NC",37071,"Gaston",37071,"Gaston County, North Carolina",0.4343,0.4848,0.303,0.4747,0.3535
"NC",37073,"Gates",37073,"Gates County, North Carolina",0.3333,0.404,0.404,0.596,0.1616
"NC",37075,"Graham",37075,"Graham County, North Carolina",0.3535,0.3333,0.6364,0.202,0.2929
"NC",37077,"Granville",37077,"Granville County, North Carolina",0.3333,0.2424,0.2626,0.6869,0.3333
"NC",37079,"Greene",37079,"Greene County, North Carolina",0.9798,0.9091,0.9293,0.8384,0.9899
"NC",37081,"Guilford",37081,"Guilford County, North Carolina",0.6162,0.3737,0.6465,0.8081,0.7576
"NC",37083,"Halifax",37083,"Halifax County, North Carolina",0.9495,0.9697,0.8283,0.9495,0.8283
"NC",37085,"Harnett",37085,"Harnett County, North Carolina",0.5354,0.5354,0.7273,0.6162,0.202
"NC",37087,"Haywood",37087,"Haywood County, North Carolina",0.0303,0.1919,0.1616,0.0404,0.0404
"NC",37089,"Henderson",37089,"Henderson County, North Carolina",0.1212,0.1212,0.2424,0.2727,0.101
"NC",37091,"Hertford",37091,"Hertford County, North Carolina",0.8586,0.8283,0.7475,0.9899,0.899
"NC",37093,"Hoke",37093,"Hoke County, North Carolina",0.8283,0.8182,0.9798,0.9293,0.5051
"NC",37095,"Hyde",37095,"Hyde County, North Carolina",0.7172,0.8889,0.2121,0.7273,0.4242
"NC",37097,"Iredell",37097,"Iredell County, North Carolina",0.0909,0.0606,0.3838,0.3838,0.0808
"NC",37099,"Jackson",37099,"Jackson County, North Carolina",0.4848,0.6162,0.0505,0.3131,0.7475
"NC",37101,"Johnston",37101,"Johnston County, North Carolina",0.3737,0.2626,0.6162,0.5051,0.2727
"NC",37103,"Jones",37103,"Jones County, North Carolina",0.8081,0.9697,0.4747,0.6061,0.6768
"NC",37105,"Lee",37105,"Lee County, North Carolina",0.7475,0.7172,0.9495,0.6768,0.5758
"NC",37107,"Lenoir",37107,"Lenoir County, North Carolina",0.9697,0.9192,0.9697,0.8283,0.9697
"NC",37109,"Lincoln",37109,"Lincoln County, North Carolina",0.0202,0.0909,0.0606,0.2222,0.101
"NC",37111,"McDowell",37111,"McDowell County, North Carolina",0.5556,0.4343,0.6061,0.1212,0.7677
"NC",37113,"Macon",37113,"Macon County, North Carolina",0.303,0.4444,0.697,0.101,0.0707
"NC",37115,"Madison",37115,"Madison County, North Carolina",0.1111,0.1616,0.0303,0,0.4141
"NC",37117,"Martin",37117,"Martin County, North Carolina",0.7576,0.798,1,0.7778,0.2323
"NC",37119,"Mecklenburg",37119,"Mecklenburg County, North Carolina",0.5051,0.2525,0.596,0.8586,0.4747
"NC",37121,"Mitchell",37121,"Mitchell County, North Carolina",0.1414,0.1313,0.2828,0.0505,0.1818
"NC",37123,"Montgomery",37123,"Montgomery County, North Carolina",0.6566,0.4747,0.8586,0.5758,0.7172
"NC",37125,"Moore",37125,"Moore County, North Carolina",0.0707,0.0202,0.5455,0.3737,0.0909
"NC",37127,"Nash",37127,"Nash County, North Carolina",0.7879,0.6667,0.7172,0.8182,0.9293
"NC",37129,"New Hanover",37129,"New Hanover County, North Carolina",0.2323,0.3535,0.0101,0.3636,0.4545
